User ID,Gender,Age,EstimatedSalary,Purchased
100223,Female,43,57929,0
100224,Female,27,142309,1
100225,Female,43,82444,1
100226,Female,51,116834,1
100227,Male,58,99555,1
100228,Female,24,88698,1
100229,Male,21,139450,0
100230,Male,28,58925,0
100231,Female,46,102388,1
100232,Female,53,23007,0
100233,Female,42,73596,0
100234,Female,38,136101,1
100235,Female,53,103861,1
100236,Female,27,101740,0
100237,Female,54,30524,1
100238,Female,26,146149,1
100239,Male,41,140501,0
100240,Female,52,35611,0
100241,Female,52,29060,0
100242,Male,53,58303,0
100243,Female,35,54711,0
100244,Male,56,88340,1
100245,Male,49,117974,1
100246,Female,41,82728,1
100247,Male,40,26246,0
100248,Male,49,142796,1
100249,Male,54,107263,1
100250,Male,29,26302,0
100251,Female,30,82506,1
100252,Male,40,56157,1
100253,Female,42,69917,0
100254,Male,52,111646,1
100255,Male,58,98122,0
100256,Male,47,39519,0
100257,Male,34,95910,1
100258,Female,37,135430,1
100259,Female,42,86324,0
100260,Male,39,20408,0
100261,Male,30,74379,0
100262,Female,36,40053,0
100263,Male,53,146994,1
100264,Male,29,113723,0
100265,Male,58,66356,0
100266,Female,36,25789,0
100267,Female,29,112720,0
100268,Female,26,81656,0
100269,Male,24,59028,0
100270,Male,45,79484,0
100271,Female,31,47154,0
100272,Female,48,17336,0
100273,Female,36,118677,1
100274,Female,33,82779,0
100275,Male,22,34029,0
100276,Female,52,74201,0
100277,Male,29,47265,0
100278,Female,42,117916,1
100279,Male,38,61197,0
100280,Female,53,140733,1
100281,Female,40,86907,1
100282,Female,33,143876,0
100283,Female,56,79435,1
100284,Male,59,55631,0
100285,Female,56,144038,1
100286,Male,31,35103,0
100287,Male,48,79772,1
100288,Male,22,141108,1
100289,Male,52,29382,0
100290,Female,40,99291,0
100291,Male,46,116195,1
100292,Male,60,149828,1
100293,Male,28,35609,0
100294,Female,35,90683,0
100295,Female,29,139714,0
100296,Female,26,145330,1
100297,Female,27,86315,0
100298,Male,34,92834,0
100299,Male,55,141205,0
100300,Female,24,29153,0
100301,Male,30,91325,0
100302,Male,57,70318,0
100303,Male,59,146886,1
100304,Female,26,130033,0
100305,Female,44,91077,0
100306,Male,19,105474,1
100307,Female,22,148515,1
100308,Female,46,88319,0
100309,Female,54,140885,1
100310,Female,55,124777,1
100311,Female,36,32368,0
100312,Male,25,106751,0
100313,Female,18,42306,1
100314,Male,39,52219,0
100315,Male,34,75279,0
100316,Female,24,68028,0
100317,Male,42,119263,0
100318,Male,21,15126,0
100319,Male,53,67329,0
100320,Female,23,42632,1
100321,Female,48,124945,1
100322,Male,36,70176,1
100323,Female,56,149869,1
100324,Female,44,49560,0
100325,Female,27,91589,0
100326,Female,43,37116,0
100327,Male,36,147717,1
100328,Male,56,139085,0
100329,Female,20,132718,1
100330,Female,30,34256,0
100331,Male,45,115158,1
100332,Male,37,134719,0
100333,Female,45,83244,0
100334,Male,25,71264,1
100335,Female,58,72545,1
100336,Female,56,54224,0
100337,Male,18,112945,0
100338,Male,20,28224,0
100339,Female,30,55738,0
100340,Female,45,78731,1
100341,Male,42,23070,0
100342,Female,50,141161,0
100343,Male,55,23666,1
100344,Female,23,72761,0
100345,Male,49,51368,1
100346,Male,38,56914,1
100347,Male,33,142738,0
100348,Female,38,82526,1
100349,Female,28,34956,0
100350,Male,54,61240,1
100351,Female,53,136008,1
100352,Male,52,109270,1
100353,Male,36,19757,0
100354,Female,37,34097,0
100355,Female,35,118892,0
100356,Male,58,85480,1
100357,Female,31,61163,0
100358,Female,32,34816,0
100359,Male,48,67853,0
100360,Male,18,111731,0
100361,Female,20,77823,0
100362,Male,33,16759,0
100363,Male,40,107374,0
100364,Female,28,148554,1
100365,Male,29,39442,1
100366,Male,27,108501,1
100367,Female,49,17079,0
100368,Female,33,148789,1
100369,Male,25,74676,0
100370,Male,55,105397,1
100371,Female,29,87847,1
100372,Female,41,108607,1
100373,Female,45,79077,0
100374,Female,25,53258,0
100375,Male,45,134771,1
100376,Female,53,53000,1
100377,Female,43,41737,1
100378,Male,25,26485,0
100379,Female,45,53565,1
100380,Male,45,134614,1
100381,Female,54,80155,1
100382,Female,58,67487,1
100383,Female,53,144948,1
100384,Male,44,27342,1
100385,Male,34,55806,0
100386,Female,26,63770,0
100387,Male,50,93623,1
100388,Male,37,118177,1
100389,Male,30,146026,0
100390,Male,45,90629,0
100391,Male,46,135993,1
100392,Male,30,141944,1
100393,Female,52,120947,1
100394,Female,23,41399,1
100395,Male,35,143177,1
100396,Female,22,124575,0
100397,Female,42,125904,1
100398,Female,19,45678,0
100399,Female,27,91218,0
100400,Male,47,78230,0
